"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 13:19:31 UTC 2026","Mon Jun 22 13:19:32 UTC 2026","784","tests.ui.page_tests","test_news_edit","TestNewsEdit","","","test_news_edit_page[chromium-admin_user]","Admin and editor users can see news edit page"
"passed","Mon Jun 22 13:18:27 UTC 2026","Mon Jun 22 13:18:27 UTC 2026","485","tests.api","test_categories","TestCategories","","","test_create_category[regular_session-403-Regular user shouldn't have access to create category]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:18:55 UTC 2026","Mon Jun 22 13:18:55 UTC 2026","565","tests.api","test_news","TestNews","","","test_delete_news[editor_session-200-Editor user should have access to delete news-True]","Only admin and editor users can delete news"
"passed","Mon Jun 22 13:18:42 UTC 2026","Mon Jun 22 13:18:43 UTC 2026","493","tests.api","test_news","TestNews","","","test_create_news[editor_session-200-Editor user should have access to create news]","Only admin and editor users can create news"
"passed","Mon Jun 22 13:19:20 UTC 2026","Mon Jun 22 13:19:20 UTC 2026","110","tests.ui.page_tests","test_register","TestRegister","","","test_register_page[chromium]","Users can see Register page"
"passed","Mon Jun 22 13:18:17 UTC 2026","Mon Jun 22 13:18:18 UTC 2026","791","tests.api","test_auth","TestAuth","","","test_login_user[admin_session-302-admin_user]","Only user with valid data can log-in"
"passed","Mon Jun 22 13:18:57 UTC 2026","Mon Jun 22 13:18:57 UTC 2026","541","tests.api","test_news","TestNews","","","test_delete_news[admin_session-200-Admin user should have access to delete news-True]","Only admin and editor users can delete news"
"passed","Mon Jun 22 13:18:30 UTC 2026","Mon Jun 22 13:18:30 UTC 2026","51","tests.api","test_categories","TestCategories","","","test_delete_category[unauthenticated_session-403-False]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:19:15 UTC 2026","Mon Jun 22 13:19:15 UTC 2026","271","tests.ui.page_tests","test_news_detail","TestNewsDetail","","","test_news_detail_page[chromium-None]","Any user can see category page"
"passed","Mon Jun 22 13:19:29 UTC 2026","Mon Jun 22 13:19:30 UTC 2026","1070","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add[chromium-admin_user]","Any user can see category page"
"passed","Mon Jun 22 13:19:23 UTC 2026","Mon Jun 22 13:19:23 UTC 2026","612","tests.ui.page_tests","test_category_add","TestCategoryAdd","","","test_category_add_page[chromium-admin_user]","Admin and editor users can see category add page"
"passed","Mon Jun 22 13:19:04 UTC 2026","Mon Jun 22 13:19:04 UTC 2026","246","tests.ui.page_tests","test_login","TestLogin","","","test_user_login[chromium-empty_user-False]","Only registered user can log-in through UI"
"passed","Mon Jun 22 13:19:17 UTC 2026","Mon Jun 22 13:19:19 UTC 2026","2172","tests.ui.page_tests","test_news_edit","TestNewsEdit","","","test_news_edit[chromium-editor_user]","Any user can see news page"
"passed","Mon Jun 22 13:18:57 UTC 2026","Mon Jun 22 13:18:57 UTC 2026","3","tests.api","test_secret_page","TestSecret","","","test_get_secret_page[unauthenticated_session-403-Unathenticated user shouldn't have access to secret page api]","Only admin and editor user have access to secret page api"
"passed","Mon Jun 22 13:19:03 UTC 2026","Mon Jun 22 13:19:04 UTC 2026","152","tests.ui.page_tests","test_login","TestLogin","","","test_login_page[chromium]",""
"passed","Mon Jun 22 13:19:12 UTC 2026","Mon Jun 22 13:19:13 UTC 2026","1008","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_to_home_page[chromium]","Editor user can returb back to home page from news add page"
"passed","Mon Jun 22 13:19:07 UTC 2026","Mon Jun 22 13:19:08 UTC 2026","952","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_editor_user[chromium]","Editor user can open add news page"
"passed","Mon Jun 22 13:19:44 UTC 2026","Mon Jun 22 13:19:45 UTC 2026","649","tests.ui.page_tests","test_home","TestHome","","","test_home_page[chromium-admin_user]","Any user can see home page"
"passed","Mon Jun 22 13:19:41 UTC 2026","Mon Jun 22 13:19:42 UTC 2026","760","tests.ui.page_tests","test_news_detail","TestNewsDetail","","","test_news_detail_page[chromium-editor_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:20 UTC 2026","Mon Jun 22 13:18:20 UTC 2026","455","tests.api","test_categories","TestCategories","","","test_get_categories[regular_session]","Any user has access to category list"
"passed","Mon Jun 22 13:19:13 UTC 2026","Mon Jun 22 13:19:14 UTC 2026","1035","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_empty_fields[chromium]","Editor user can't create news with empty fields"
"passed","Mon Jun 22 13:19:42 UTC 2026","Mon Jun 22 13:19:42 UTC 2026","215","tests.ui.page_tests","test_register","TestRegister","","","test_user_register[chromium-user_data_username_and_password_similar-False]","User can register only with valid data"
"passed","Mon Jun 22 13:19:37 UTC 2026","Mon Jun 22 13:19:38 UTC 2026","648","tests.ui.page_tests","test_category","TestCategory","","","test_category_page[chromium-editor_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:38 UTC 2026","Mon Jun 22 13:18:38 UTC 2026","447","tests.api","test_news","TestNews","","","test_get_news_by_id[regular_session]","Any user can get news by id"
"passed","Mon Jun 22 13:19:25 UTC 2026","Mon Jun 22 13:19:25 UTC 2026","744","tests.ui.page_tests","test_category_news","TestCategoryNews","","","test_category_news_page[chromium-regular_user]","Any user can see category news list page"
"passed","Mon Jun 22 13:18:46 UTC 2026","Mon Jun 22 13:18:47 UTC 2026","484","tests.api","test_news","TestNews","","","test_edit_news[regular_session-403-Regular user shouldn't have access to create news]",""
"passed","Mon Jun 22 13:19:56 UTC 2026","Mon Jun 22 13:19:57 UTC 2026","1112","tests.ui.e2e_tests","test_reading_news_flow","TestReadingNews","","","test_reading_news[chromium-editor_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:18:15 UTC 2026","Mon Jun 22 13:18:15 UTC 2026","7","tests.api","test_auth","TestAuth","","","test_delete_user_permision[admin_session-200-False]","Only admin has permission to delete users"
"passed","Mon Jun 22 13:19:10 UTC 2026","Mon Jun 22 13:19:11 UTC 2026","1199","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_create_news[chromium]","Editor user can create news with news add page"
"passed","Mon Jun 22 13:18:22 UTC 2026","Mon Jun 22 13:18:22 UTC 2026","5","tests.api","test_categories","TestCategories","","","test_get_news_by_category[unauthenticated_session]","Any user has access to news by category"
"passed","Mon Jun 22 13:19:22 UTC 2026","Mon Jun 22 13:19:23 UTC 2026","687","tests.ui.page_tests","test_category","TestCategory","","","test_category_page[chromium-regular_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:39 UTC 2026","Mon Jun 22 13:18:40 UTC 2026","448","tests.api","test_news","TestNews","","","test_get_news_by_id[editor_session]","Any user can get news by id"
"passed","Mon Jun 22 13:19:50 UTC 2026","Mon Jun 22 13:19:50 UTC 2026","807","tests.ui.e2e_tests","test_creation_news_flow","TestCreationNews","","","test_creation_news[chromium-editor_user]","Editor and admin users can go through flow:
            - Home
            - Add news"
"passed","Mon Jun 22 13:19:15 UTC 2026","Mon Jun 22 13:19:16 UTC 2026","808","tests.ui.page_tests","test_news_edit","TestNewsEdit","","","test_news_edit_page[chromium-editor_user]","Admin and editor users can see news edit page"
"passed","Mon Jun 22 13:18:11 UTC 2026","Mon Jun 22 13:18:12 UTC 2026","45","tests.api","test_auth","TestAuth","","","test_delete_user_permision[unauthenticated_session-403-True]","Only admin has permission to delete users"
"passed","Mon Jun 22 13:19:45 UTC 2026","Mon Jun 22 13:19:45 UTC 2026","635","tests.ui.page_tests","test_login","TestLogin","","","test_user_login[chromium-editor_user-True]","Only registered user can log-in through UI"
"passed","Mon Jun 22 13:18:57 UTC 2026","Mon Jun 22 13:18:58 UTC 2026","441","tests.api","test_secret_page","TestSecret","","","test_get_secret_page[regular_session-403-Regular user shouldn't have access to secret page api]","Only admin and editor user have access to secret page api"
"passed","Mon Jun 22 13:18:34 UTC 2026","Mon Jun 22 13:18:34 UTC 2026","451","tests.api","test_news","TestNews","","","test_get_news[regular_session]","Any user can get news"
